iter,elapsed_time,obj,gradnorm,eval,grad,L
179,0.21039488186943345,0.08798734426843673,0.3432335520715948,0,204,108.17554342485688
180,0.2114048818766605,0.08690259608877582,0.34052696121168075,0,205,97.35798908237119
181,0.21241867388016544,0.08571682051993652,0.3376442753834632,0,206,87.62219017413408
182,0.2134396318870131,0.08442465756843753,0.33776471953867576,0,207,78.85997115672068
183,0.2144548818905605,0.08309824717436423,0.46144235437594894,0,208,70.9739740410486
184,0.21850617288146168,0.08282086086060347,0.3309979900697435,0,212,511.01261309554997
185,0.2195286318747094,0.08260721579509253,0.3297346196235403,0,213,459.91135178599495
186,0.22057288186624646,0.0823710525101457,0.3291113537339071,0,214,413.92021660739545
187,0.22158279886934906,0.08210964015821898,0.3284462459900137,0,215,372.5281949466559
188,0.22259409086836968,0.08182038433400915,0.3277115818999426,0,216,335.2753754519903
189,0.2236094658728689,0.08150046363196399,0.3268986832520524,0,217,301.7478379067913
190,0.2246217988722492,0.0811468055847641,0.3259992320154821,0,218,271.5730541161122
191,0.2256422568752896,0.08075607029817473,0.3250044267729222,0,219,244.41574870450097
192,0.22665438188414555,0.08032463816562371,0.32390495611865777,0,220,219.97417383405087
193,0.2276660488860216,0.07984859594507455,0.3226909088509896,0,221,197.97675645064578
194,0.22867117388523184,0.07932373342639085,0.32135645996320106,0,222,178.1790808055812
195,0.22968338188366033,0.07874554052198673,0.31992100390382255,0,223,160.3611727250231
196,0.23069783988466952,0.07810936297979178,0.31869385220332835,0,224,144.3250554525208
197,0.2317147568828659,0.0774119305225458,0.3213522159930996,0,225,129.89254990726872
198,0.23273004888324067,0.07667721413016303,0.3791592384884846,0,226,116.90329491654185
199,0.23475804888585117,0.0763178981852011,0.4702432984405708,0,228,210.42593084977534
200,0.23676529887598008,0.07600823908649514,0.3545214108883666,0,230,378.7666755295956
201,0.23785246488114353,0.07573710164954277,0.33000580363224924,0,231,340.89000797663607
202,0.2388786318770144,0.07544879489960847,0.3237183295059574,0,232,306.8010071789725
203,0.23989875688857865,0.07513362931195583,0.3237087631464029,0,233,276.12090646107526
204,0.24091429788677488,0.07478886009229313,0.330364843589347,0,234,248.50881581496773
205,0.24192717288678978,0.07441739417306034,0.3544879592081358,0,235,223.65793423347097
206,0.24299421488831285,0.07404661811865194,0.43929081165457534,0,236,201.29214081012387
207,0.24505229789065197,0.07375771762275482,0.3530142080309546,0,238,362.325853458223
208,0.24607008989551105,0.07348669453207327,0.33163315644006736,0,239,326.09326811240066
209,0.2470851729012793,0.07319756951759925,0.32734842501803546,0,240,293.4839413011606
210,0.24810313089983538,0.07288335551902816,0.33287715058373135,0,241,264.13554717104455
211,0.24911392290960066,0.07254543928441763,0.35573402367450435,0,242,237.7219924539401
212,0.2501274229143746,0.07220489259424004,0.43009001158777194,0,243,213.94979320854608
213,0.2521543809125433,0.07193350434440189,0.33496827344583363,0,245,385.10962777538293
214,0.2531606309203198,0.07168684122744233,0.31530773368936305,0,246,346.59866499784465
215,0.25416429691540543,0.07142261154842221,0.3102293238804963,0,247,311.9387984980602
216,0.2551723809156101,0.07113307575190993,0.3099738823525689,0,248,280.74491864825416
217,0.25629238091642037,0.07081547198536388,0.31467182178825476,0,249,252.67042678342875
218,0.25738704692048486,0.07047116067451446,0.3324337494577718,0,250,227.40338410508588
219,0.25840783791500144,0.07011778743437552,0.39648766678546976,0,251,204.6630456945773
220,0.260457254917128,0.06986427338548654,0.32997113467633543,0,253,368.3934822502392
221,0.2614653799100779,0.06961776008993092,0.314019549881829,0,254,331.55413402521526
222,0.2624737549049314,0.06935233089699319,0.3105944343689217,0,255,298.39872062269376
223,0.2634837129153311,0.06906237055961573,0.3140523155639866,0,256,268.5588485604244
224,0.26448842191894073,0.06874791327746854,0.32956197229070555,0,257,241.70296370438197
225,0.2655011309107067,0.0684209874071599,0.38172077357043366,0,258,217.53266733394378
226,0.26752217290049884,0.06818737464148483,0.3138731099957559,0,260,391.5588012010988
227,0.2685333819099469,0.06796327044012988,0.3005296119083935,0,261,352.4029210809889
228,0.26959838191396557,0.06772072244663711,0.29695768426828495,0,262,317.16262897289005
229,0.27082479892123956,0.06745405051611905,0.29647729830126873,0,263,285.4463660756011
230,0.2718768399208784,0.06716069095238242,0.29904065844792416,0,264,256.90172946804097
231,0.2729086729232222,0.06684021112507814,0.3095945883302393,0,265,231.21155652123687
232,0.27393521393241826,0.06650149056442241,0.34984710840100436,0,266,208.09040086911318
233,0.27601525593490805,0.06628111499525215,0.30698681092757174,0,268,374.5627215644037
234,0.2770256729418179,0.06605671958337891,0.29697320175782593,0,269,337.10644940796334
235,0.27804129794822074,0.06581253188223718,0.29458531964253765,0,270,303.395804467167
236,0.2790590899530798,0.06554442275082994,0.2961345627911331,0,271,273.0562240204503
237,0.2800737569486955,0.06525112178314349,0.3044317034089518,0,272,245.75060161840528
238,0.2810920069459826,0.064937583344427,0.33418743913613685,0,273,221.17554145656476
239,0.28211504794307984,0.0646400662667211,0.4422808619949013,0,274,199.0579873109083
240,0.28419713194307406,0.06438523341788911,0.35333218599595817,0,276,358.30437715963495
241,0.2852516319399001,0.06415139299333975,0.3298459560279697,0,277,322.47393944367144
242,0.28628975692845415,0.0639066092077092,0.330259677117977,0,278,290.2265454993043
243,0.2873251319397241,0.06364769959339368,0.353048603151023,0,279,261.2038909493739
244,0.28834013194136787,0.06339116401369807,0.4246971463737262,0,280,235.0835018544365
